geoid,period,Health Care Center (/100k pop),HIV
13119,2012,4.274324,18.27
13121,2012,2.0226044,72.5
13123,2012,0,0
13125,2012,11.28306,0
13127,2012,0,29.8
13129,2012,0,0
13131,2012,0,53.6
13133,2012,4.9856868,24.86
13135,2012,0.97471374,15
13137,2012,0,9.19
13139,2012,1.46877872,6.1
13141,2012,6.6681486,44.46
13143,2012,0,0
13145,2012,0,18.2
13147,2012,3.959193,23.2
13149,2012,0,34.38
13151,2012,0,8.9
13153,2012,0,15.2
13155,2012,9.1287088,41.67
13157,2012,0,6.6
13159,2012,0,29.35
13161,2012,0,26.39
13163,2012,0,24.34
13165,2012,0,0
13167,2012,6.3573804,30.31
13169,2012,0,10.5
13171,2012,0,32.8
13173,2012,0,38.46
13175,2012,2.8855192,43.5
13177,2012,3.7302788,0
13179,2012,3.4955902,20.3
13181,2012,0,51.7
13183,2012,4.992517,0
13185,2012,0,26.6
13187,2012,0,0
13189,2012,0,0
13191,2012,0,21.68
13193,2012,0,28.04
13195,2012,3.7849202,14.33
13197,2012,0,45.92
13199,2012,6.132402,18.8
13201,2012,0,0
13205,2012,0,12.96
13207,2012,0,15.02
13209,2012,6.6991244,44.88
13211,2012,0,16.78
13213,2012,3.1865886,10.15
13215,2012,2.4592664,37.6
13217,2012,0,16
13219,2012,0,0
13221,2012,5.2310156,20.52
13223,2012,0,2.76
13225,2012,0,14.48
13227,2012,0,0
13229,2012,4.6072678,15.92
13231,2012,0,0
13233,2012,0,9.71
13235,2012,0,34.13
13237,2012,0,18.87
13239,2012,12.8991994,166.39
13241,2012,4.9542298,18.41
13243,2012,0,0
13245,2012,2.4337998,33.7
13247,2012,0,10
13249,2012,0,80.16
13251,2012,0,21.12
13253,2012,0,44.71
13255,2012,0,6.26
13257,2012,0,15.45
13259,2012,11.5068016,66.2
13261,2012,7.1208654,23.1
13263,2012,7.8344074,0
13265,2012,15.430335,0
13267,2012,0,11.82
13269,2012,0,35.63
13271,2012,0,24.47
13273,2012,6.650062,33.17
13275,2012,2.9906092,19.1
13277,2012,3.1210404,23.8
13279,2012,3.8267438,14.64
13281,2012,0,0
13283,2012,7.687192,59.09
13285,2012,2.417053,5.84
13287,2012,0,0
13289,2012,6.8814306,0
13291,2012,0,0
13293,2012,0,11.27
13295,2012,2.4236818,5.87
13297,2012,0,4.73
13299,2012,4.7258086,23.6
13301,2012,8.468193,0
13303,2012,6.189993,19.16
13305,2012,0,13.2
13307,2012,0,0
13309,2012,0,0
13311,2012,0,0
13313,2012,1.96723318,12.2
13315,2012,6.6416234,44.11
13317,2012,6.3006582,39.7
13319,2012,6.4627184,31.33
13321,2012,0,0
15001,2012,4.8225432,5.1
15003,2012,3.0696316,7.6
15005,2012,0,0
15007,2012,4.1874986,5.85
15009,2012,3.8946344,7.5
16001,2012,2.4222088,5.7
16003,2012,10.107974,0
16005,2012,4.3695626,0
16007,2012,0,0
16009,2012,6.6237512,0
16011,2012,4.1943378,0
16013,2012,0,0
16015,2012,0,0
16017,2012,4.4457616,0
16019,2012,1.93633438,3.75
16021,2012,8.603444,0
16023,2012,0,0
16025,2012,19.2717934,0
16027,2012,2.872662,3.3
16029,2012,0,0
16031,2012,4.1478958,0
16033,2012,0,0
16035,2012,0,0
16037,2012,0,0
16039,2012,5.523366,0
16041,2012,0,0
16043,2012,5.5561986,0
16045,2012,4.8980488,0
16047,2012,0,0
16049,2012,0,0
16051,2012,3.8717254,0
16053,2012,4.216464,17.78
16055,2012,2.903362,2.81
16057,2012,0,10.48
16059,2012,0,0
16061,2012,0,0
16063,2012,0,0
16065,2012,0,0
16067,2012,4.4680052,0
16069,2012,3.1809812,7.59
16071,2012,0,0
16073,2012,10.242279,0
16075,2012,5.9445142,0
16077,2012,7.1712694,0
16079,2012,0,23.62
16081,2012,0,0
16083,2012,4.5119318,3.82
16085,2012,0,41.91
16087,2012,0,0
17001,2012,2.4398046,4.46
17003,2012,10.1613216,51.63
17005,2012,0,0
17007,2012,3.851142,7.42
17009,2012,0,57.85
17011,2012,0,0
17013,2012,0,0
17015,2012,0,26.65
17017,2012,5.4762674,0
17019,2012,1.98381854,10.8
17021,2012,0,8.66
17023,2012,0,0
17025,2012,5.3904634,29.06
17027,2012,0,10.51
17029,2012,2.7303912,5.59
17031,2012,3.2718024,28.5
17033,2012,0,15.31
17035,2012,6.0390172,0
17037,2012,0,10.3
17039,2012,0,0
17041,2012,0,0
17043,2012,1.60818004,4
17045,2012,0,0
17047,2012,7.7359166,0
17049,2012,4.825726,0
17051,2012,6.0283088,26.7
17053,2012,0,0
17055,2012,8.4293156,7.61
17057,2012,0,10.91
17059,2012,8.5828218,0
17061,2012,0,0
17063,2012,0,7.96
17065,2012,6.913011,0
17067,2012,6.5075502,0
17069,2012,9.6923074,0
17071,2012,7.5361782,0
17073,2012,0,7.98
17075,2012,3.6986336,0
17077,2012,7.2986502,9.7
17079,2012,0,0
17081,2012,3.2141218,10.33
17083,2012,0,17.59
17085,2012,0,13.3
17087,2012,5.5989252,0
17089,2012,2.4747836,5.8
17091,2012,1.88110888,2.65
17093,2012,0,3.39
17095,2012,2.7669372,7.66
17097,2012,1.5095737,8.5
17099,2012,0,3.54
17101,2012,0,24.09
17103,2012,0,11.42
17105,2012,0,10.35
17107,2012,0,10
17109,2012,3.5062368,0
17111,2012,0,2.4
17113,2012,0,4.8
17115,2012,1.90586854,9.7
17117,2012,2.910157,8.47
17119,2012,2.9931814,10.7
17121,2012,3.2069242,10.28
17123,2012,0,0
17125,2012,0,0
17127,2012,5.1241642,0
17129,2012,0,0
17131,2012,0,0
17133,2012,0,0
17135,2012,0,10.13
17137,2012,0,0
17139,2012,0,0
17141,2012,0,0
17143,2012,3.580058,7.1
17145,2012,6.0222936,13.6
17147,2012,0,0
17149,2012,0,0
17151,2012,9.6764126,93.63
17153,2012,11.5489302,50.02
17155,2012,0,0
17157,2012,0,0
17159,2012,4.972725,0
17161,2012,3.294028,8.1
17163,2012,5.5895668,18.5
17165,2012,6.935698,0
