geoid,1980,1990,2000,2010,Sequence
06037228320,0,1,1,1,0
06037228410,1,1,1,1,1
06037228420,1,1,1,1,1
06037228500,0,1,1,1,0
06037228600,0,1,1,1,0
06037228710,0,1,1,1,0
06037228720,0,1,1,1,0
06037228800,0,1,1,1,0
06037228900,0,1,1,1,0
06037229100,0,1,1,1,0
06037229200,0,0,1,1,0
06037229300,0,1,1,1,0
06037229410,0,1,1,1,0
06037229420,0,1,1,1,0
06037231100,1,1,1,1,1
06037231210,0,0,0,1,0
06037231220,0,0,0,1,0
06037231300,0,0,0,0,1
06037231400,0,0,0,0,1
06037231500,0,0,0,0,1
06037231600,0,0,0,1,0
06037231710,0,1,1,1,0
06037231720,0,1,1,1,0
06037231800,1,1,1,1,1
06037231900,0,1,1,1,0
06037232110,0,0,0,1,0
06037232120,0,0,1,1,0
06037232200,0,0,0,0,1
06037232300,0,0,0,0,1
06037232400,0,0,0,0,1
06037232500,0,0,0,0,1
06037232600,0,0,0,0,1
06037232700,0,0,0,1,0
06037232800,0,1,1,1,0
06037234000,0,0,0,0,1
06037234200,3,3,0,0,0
06037234300,0,0,0,0,1
06037234501,0,0,0,0,1
06037234502,0,0,0,0,1
06037234600,0,0,0,0,1
06037234700,0,0,0,0,1
06037234800,0,0,0,0,1
06037234901,0,0,0,0,1
06037234902,0,0,0,0,1
06037235100,0,0,0,0,1
06037235201,0,0,0,0,1
06037235202,0,0,0,0,1
06037236000,2,2,0,0,0
06037236100,0,0,0,0,1
06037236202,0,0,0,0,1
06037236400,0,0,0,0,1
06037237101,0,0,0,0,1
06037237102,0,0,0,0,1
06037237201,0,0,0,1,0
06037237202,0,0,0,0,1
06037237300,0,0,0,0,1
06037237401,0,0,0,0,1
06037237402,0,0,0,0,1
06037237500,0,0,0,1,0
06037237600,0,0,1,1,0
06037237710,0,0,0,0,1
06037237720,0,0,1,1,0
06037237800,0,0,0,0,1
06037237900,0,0,0,0,1
06037238000,0,0,0,0,1
06037238100,0,0,0,0,1
06037238200,0,0,0,0,1
06037238310,0,0,0,1,0
06037238320,0,0,0,0,1
06037238400,0,0,0,0,1
06037239201,0,0,1,1,0
06037239202,0,1,1,1,0
06037239310,0,0,1,1,0
06037239320,0,0,1,1,0
06037239330,0,0,1,1,0
06037239501,0,0,0,0,1
06037239502,0,0,0,1,0
06037239601,0,1,1,1,0
06037239602,0,1,1,1,0
06037239701,0,0,0,1,0
06037239702,0,0,0,1,0
06037239801,0,0,0,1,0
06037239802,0,0,0,1,0
06037240010,0,0,0,1,0
06037240020,0,0,0,1,0
06037240200,0,0,0,0,1
06037240300,0,0,0,0,1
06037240401,0,0,0,0,1
06037240402,0,0,0,0,1
06037240500,0,0,0,0,1
06037240600,0,0,0,0,1
06037240700,0,0,0,0,1
06037240800,0,0,0,0,1
06037240900,0,0,0,1,0
06037241001,0,0,0,0,1
06037241002,0,0,0,0,1
06037241110,0,0,0,1,0
06037241120,0,0,0,0,1
06037241201,0,0,0,0,1
06037241202,0,0,0,0,1
06037241300,0,0,0,0,1
06037241400,0,0,0,0,1
06037242000,0,0,0,0,1
06037242200,0,0,0,1,0
06037242300,0,0,0,1,0
06037242600,0,0,0,0,1
06037242700,0,0,0,1,0
06037243000,0,1,1,1,0
06037243100,0,0,0,1,0
06037261101,2,2,2,2,1
06037261102,2,2,2,2,1
06037261200,2,2,2,2,1
06037262100,2,2,2,2,1
06037262200,2,2,2,2,1
06037262301,2,2,2,2,1
06037262302,2,2,2,2,1
06037262303,2,2,2,2,1
06037262400,2,2,2,2,1
06037262501,2,2,2,2,1
06037262601,2,2,2,2,1
06037262604,2,2,2,2,1
06037262704,2,2,2,2,1
06037262706,2,2,2,2,1
06037262802,2,2,2,2,1
06037264000,2,2,2,2,1
06037264102,2,2,2,2,1
06037264103,2,2,2,2,1
06037264301,2,2,2,2,1
06037264302,2,2,2,2,1
06037265100,2,2,2,2,1
06037265201,2,2,2,2,1
06037265202,2,2,2,2,1
06037265303,2,2,4,4,0
06037265304,2,2,4,4,0
06037265305,2,2,4,4,0
06037265410,2,2,2,2,1
06037265420,2,2,2,2,1
06037265510,2,2,2,2,1
06037265520,2,2,2,2,1
06037265601,2,2,2,2,1
