geoid,1980,1990,2000,2010,Sequence
06037599000,2,2,2,4,0
06037600100,0,0,0,0,1
06037600201,0,0,0,0,1
06037600202,0,0,0,0,1
06037600302,0,0,0,0,1
06037600303,0,0,0,0,1
06037600304,0,0,0,0,1
06037600400,0,0,0,0,1
06037600501,0,0,0,0,1
06037600502,0,0,0,0,1
06037600601,0,0,0,0,1
06037600602,0,0,0,1,0
06037600702,0,0,0,0,1
06037600703,3,0,0,0,0
06037600704,3,0,0,0,0
06037600801,0,0,0,0,1
06037600802,0,0,0,0,1
06037600902,4,0,0,0,0
06037600911,0,0,0,0,1
06037600912,0,1,1,1,0
06037601001,4,2,0,0,2
06037601002,4,0,0,0,0
06037601100,4,0,0,0,0
06037601202,1,1,1,1,1
06037601211,4,0,0,0,0
06037601212,4,4,1,1,0
06037601301,3,3,0,0,0
06037601302,4,0,0,0,0
06037601303,4,0,0,0,0
06037601401,4,4,0,0,0
06037601402,3,1,1,1,0
06037601501,1,1,1,1,1
06037601502,1,1,1,1,1
06037601600,1,1,1,1,1
06037601700,1,1,1,1,1
06037601801,1,1,1,1,1
06037601802,1,1,1,1,1
06037601900,0,1,1,1,0
06037602002,1,1,1,1,1
06037602003,0,0,1,1,0
06037602004,0,0,0,1,0
06037602103,4,4,4,4,1
06037602104,4,4,4,4,1
06037602105,4,4,4,4,1
06037602106,4,4,4,4,1
06037602200,3,3,3,3,3
06037602301,3,3,3,3,3
06037602302,3,3,3,3,3
06037602402,3,3,3,3,3
06037602403,4,4,4,4,1
06037602404,4,4,4,4,1
06037602504,4,4,4,0,0
06037602505,4,4,4,4,1
06037602506,4,4,0,4,2
06037602507,4,4,0,0,0
06037602508,4,4,0,4,2
06037602509,4,4,0,4,2
06037602600,0,0,0,0,1
06037602700,0,0,0,0,1
06037602801,0,0,0,1,0
06037602802,0,0,0,0,1
06037602900,3,1,1,1,0
06037603001,4,4,4,4,1
06037603004,4,4,4,4,1
06037603005,4,4,4,4,1
06037603006,4,4,4,3,0
06037603101,4,4,4,4,1
06037603102,4,4,4,4,1
06037603200,3,3,3,3,3
06037603301,4,3,4,3,2
06037603302,4,3,3,4,2
06037603400,3,3,3,3,3
06037603500,3,3,3,3,3
06037603600,3,3,3,3,3
06037603702,3,3,3,3,3
06037603703,1,4,3,3,2
06037603704,1,4,4,4,0
06037603801,4,4,4,4,1
06037603802,4,4,4,1,0
06037603900,3,3,3,3,3
06037604001,3,3,4,1,2
06037604002,3,3,4,4,0
06037604100,3,3,1,1,0
06037609900,3,3,3,3,3
06037620001,3,2,2,2,0
06037620002,3,2,2,3,2
06037620101,2,2,3,3,0
06037620102,2,2,2,2,1
06037620201,2,2,2,2,1
06037620301,2,2,2,2,1
06037620303,2,2,2,2,1
06037620305,2,2,2,2,1
06037620400,3,2,2,2,0
06037620501,3,3,3,3,3
06037620521,3,3,3,3,3
06037620522,3,3,3,2,0
06037620601,4,3,3,3,0
06037620602,3,3,3,3,3
06037620701,3,2,2,2,0
06037620702,3,3,3,3,3
06037620800,3,2,2,2,0
06037620901,2,2,2,2,1
06037620904,2,2,2,2,1
06037621001,2,2,2,2,1
06037621002,2,2,2,2,1
06037621004,2,2,2,2,1
06037621102,2,2,2,2,1
06037621104,2,2,2,2,1
06037621201,3,2,2,2,0
06037621204,2,2,2,2,1
06037621301,2,2,2,2,1
06037621324,2,2,2,2,1
06037621326,2,2,2,2,1
06037621400,2,2,2,2,1
06037650001,3,3,3,3,3
06037650003,3,3,4,4,0
06037650004,3,3,4,3,2
06037650101,3,3,3,3,3
06037650102,3,3,3,3,3
06037650200,3,3,3,3,3
06037650300,3,3,3,3,3
06037650401,3,3,3,3,3
06037650501,3,3,3,3,3
06037650502,3,3,3,3,3
06037650602,2,2,4,4,0
06037650603,3,3,3,3,3
06037650604,2,2,4,4,0
06037650605,2,2,4,2,2
06037650701,3,3,3,2,0
06037650702,3,3,3,3,3
06037650800,2,2,3,3,0
06037650901,3,3,3,3,3
06037650902,3,3,3,3,3
06037651001,3,3,3,3,3
06037651002,3,3,3,2,0
06037651101,3,2,2,3,2
06037651102,3,2,2,2,0
06037651201,3,3,3,3,3
06037651221,2,2,2,2,1
06037651222,2,2,3,2,2
06037651302,3,2,2,2,0
06037651304,2,2,2,2,1
06037651401,3,3,3,2,0
06037651402,3,3,3,3,3
06037670001,3,3,3,3,3
06037670002,3,3,3,3,3
06037670003,3,3,3,3,3
06037670100,3,3,3,3,3
06037670201,2,2,2,2,1
06037670202,2,2,2,2,1
06037670324,2,2,2,2,1
06037670326,2,2,2,2,1
06037670328,2,2,2,2,1
06037670403,2,2,2,2,1
06037670405,2,2,2,2,1
06037670406,2,2,2,2,1
06037670407,2,2,2,3,0
06037670411,3,2,2,2,0
06037670413,2,2,2,2,1
06037670416,2,2,2,2,1
06037670500,2,2,2,2,1
06037670602,2,2,2,2,1
06037670701,3,3,3,3,3
06037670702,2,2,2,2,1
06037700101,4,2,2,2,0
06037700102,4,2,2,2,0
06037700200,2,2,2,2,1
06037700300,2,2,2,2,1
06037700400,2,2,2,2,1
06037700501,2,2,2,2,1
06037700502,2,2,2,2,1
06037700600,2,2,2,2,1
06037700700,2,2,2,2,1
06037700801,2,2,2,2,1
06037700802,2,2,2,2,1
06037700901,2,2,2,2,1
06037700902,2,2,2,2,1
06037701000,2,2,2,2,1
06037701201,2,2,2,2,1
06037701202,2,2,2,2,1
06037701302,2,2,2,2,1
06037701304,2,2,2,2,1
06037701402,2,2,2,2,1
06037701501,2,2,2,2,1
06037701502,2,2,2,2,1
06037701601,2,2,2,2,1
06037701602,2,2,2,2,1
06037701701,2,2,2,2,1
06037701702,4,2,2,2,0
06037701801,4,4,4,4,1
06037701802,4,4,4,4,1
06037701902,2,2,2,2,1
06037702002,2,2,2,2,1
06037702102,2,2,2,2,1
06037702201,2,2,2,2,1
06037702202,2,2,2,2,1
06037702300,2,2,2,2,1
06037702400,4,3,3,2,2
06037702502,2,2,2,2,1
06037702600,3,3,2,3,2
06037702700,3,3,3,2,0
06037702801,4,2,3,2,2
06037702802,3,2,3,2,2
06037702803,4,3,3,3,0
06037702901,2,2,2,2,1
06037703001,3,2,2,2,0
06037703002,2,2,2,0,0
06037703100,3,0,0,0,0
06037703200,0,0,0,0,1
06037800101,2,2,2,2,1
06037800102,2,2,2,2,1
06037800202,2,2,2,2,1
06037800203,2,2,2,2,1
06037800204,2,2,2,2,1
06037800324,2,3,3,3,0
06037800325,2,2,2,2,1
06037800326,2,2,2,2,1
06037800327,2,2,3,2,2
06037800328,2,2,3,3,0
06037800329,2,2,2,3,0
06037800330,2,2,2,2,1
06037800331,2,3,3,3,0
06037800332,2,3,3,2,2
06037800406,2,2,2,2,1
06037800408,2,2,2,2,1
06037800410,2,2,2,2,1
06037800504,2,2,2,2,1
06037800506,2,2,2,2,1
06037900102,4,3,0,0,2
06037900103,4,3,3,1,2
06037900104,4,3,3,3,0
06037900201,3,3,0,2,2
06037900300,3,3,3,3,3
06037900602,3,3,0,0,0
06037900605,3,3,0,3,2
06037900606,3,3,0,0,0
06037900607,3,3,0,0,0
06037900608,3,3,3,0,0
06037900609,3,3,3,1,0
06037900701,3,3,3,0,0
06037900703,3,4,4,4,0
06037900704,3,4,4,4,0
06037900705,3,4,2,4,2
06037900803,3,3,3,3,3
06037900804,3,3,0,0,0
06037900805,3,3,3,3,3
06037900806,3,3,0,0,0
06037900900,2,3,3,3,0
06037901004,3,3,3,3,3
06037901007,3,3,3,3,3
06037901008,3,3,3,3,3
06037901009,3,3,3,3,3
06037901010,3,3,3,3,3
06037901011,3,3,3,3,3
06037901101,3,3,3,3,3
06037901102,3,3,3,3,3
06037901205,2,3,3,3,0
06037901209,4,3,2,2,2
06037901210,4,3,3,3,0
06037901213,2,3,3,3,0
06037910001,0,3,3,3,0
06037910002,0,3,3,3,0
06037910101,3,3,1,0,2
06037910201,3,3,3,1,0
06037910202,3,3,3,3,3
06037910205,3,3,3,3,3
06037910206,3,3,3,3,3
06037910207,3,3,3,3,3
06037910208,3,3,3,3,3
06037910209,3,3,3,3,3
06037910210,3,3,3,3,3
06037910301,3,3,3,3,3
06037910302,3,3,3,3,3
06037910401,3,4,3,3,2
06037910402,3,4,4,0,2
06037910403,3,4,4,1,2
06037910404,3,4,3,1,2
06037910502,3,4,0,0,2
06037910504,3,4,3,1,2
06037910505,3,4,3,4,2
06037910601,3,3,0,0,0
06037910602,3,3,4,0,2
06037910603,3,3,3,3,3
06037910605,3,3,3,1,0
06037910606,3,3,3,0,0
06037910705,3,3,3,1,0
06037910706,3,3,3,1,0
06037910707,3,3,4,1,2
06037910709,3,3,3,3,3
06037910711,3,3,3,1,0
06037910712,3,3,3,1,0
06037910713,3,3,3,1,0
06037910714,3,3,3,1,0
06037910715,3,3,3,1,0
06037910716,3,3,3,3,3
06037910804,3,3,3,3,3
06037910805,3,3,3,3,3
06037910807,3,3,3,3,3
06037910808,3,3,3,3,3
06037910809,3,3,3,2,0
06037910810,3,3,3,3,3
06037910811,3,3,3,3,3
06037910812,3,3,3,3,3
06037910813,3,3,3,3,3
06037911001,2,3,2,3,2
06037920011,3,3,2,0,2
06037920012,3,3,3,3,3
06037920013,3,3,3,3,3
06037920015,3,3,3,3,3
06037920016,3,3,3,3,3
06037920017,3,3,3,3,3
06037920018,3,3,3,3,3
06037920020,3,3,3,3,3
06037920023,3,3,3,3,3
06037920026,3,3,3,3,3
06037920028,3,3,3,3,3
06037920029,3,3,3,3,3
06037920030,3,3,3,3,3
06037920031,3,3,2,3,2
06037920032,3,3,3,3,3
06037920033,3,3,3,3,3
06037920034,3,3,3,3,3
06037920035,3,3,3,3,3
06037920036,3,3,3,1,0
06037920037,2,3,4,4,2
06037920038,2,3,3,4,2
06037920039,2,3,3,3,0
06037920040,2,3,3,3,0
06037920041,2,3,3,3,0
06037920042,2,3,2,3,2
06037920043,2,3,2,3,2
06037920044,3,3,3,3,3
06037920045,3,3,3,3,3
06037920102,3,3,3,3,3
06037920104,3,3,3,3,3
06037920106,3,3,3,1,0
06037920107,3,3,3,3,3
06037920109,3,3,3,2,0
06037920110,3,3,3,3,3
06037920111,3,3,3,3,3
06037920112,3,3,3,3,3
06037920114,3,3,3,3,3
06037920115,3,3,3,3,3
06037920116,4,3,3,3,0
06037920118,4,3,3,3,0
06037920119,4,3,3,3,0
06037920303,2,2,3,2,2
06037920312,3,2,2,3,2
06037920313,3,3,3,3,3
06037920314,3,3,3,3,3
06037920322,3,3,3,3,3
06037920326,2,2,3,3,0
06037920328,2,2,2,2,1
06037920329,3,3,3,3,3
06037920330,2,2,2,3,0
06037920331,3,3,3,3,3
06037920332,3,3,3,3,3
06037920334,2,2,3,3,0
06037920336,3,3,4,1,2
06037920337,3,3,4,4,0
06037920338,2,2,3,3,0
06037920339,2,2,3,3,0
06037930101,3,3,2,2,0
06037930200,3,3,2,4,2
06037930301,3,3,2,2,0
06037980019,2,2,2,2,1
06037980024,3,2,3,2,2
06037980026,3,3,3,3,3
