tractID,1980,1990,2000,2010
17031421200,4,4,0,0
17031430101,0,4,4,0
17031430102,0,4,4,4
17031430200,0,0,4,0
17031430300,0,0,0,0
17031430400,4,0,0,0
17031430500,0,0,0,0
17031430600,0,4,4,4
17031430700,4,0,0,4
17031430800,4,4,4,4
17031430900,4,4,4,0
17031431200,4,4,4,4
17031431301,0,0,0,0
17031431302,0,0,0,0
17031431400,4,0,4,4
17031440101,4,0,0,0
17031440102,4,0,0,0
17031440201,4,4,4,0
17031440202,4,4,4,4
17031440300,4,4,4,4
17031440600,4,4,4,4
17031440700,4,4,4,4
17031440800,4,4,4,0
17031440900,4,4,4,4
17031450300,4,4,4,4
17031460100,3,0,0,0
17031460200,3,3,0,0
17031460301,3,0,0,0
17031460302,3,0,0,0
17031460400,4,4,4,4
17031460500,4,4,4,4
17031460600,3,3,0,4
17031460700,3,3,3,0
17031461000,3,3,0,4
17031470100,4,4,4,4
17031480100,4,4,4,4
17031480200,4,4,4,4
17031480300,4,4,4,4
17031480400,4,4,4,4
17031480500,4,4,4,4
17031490300,4,4,4,4
17031490400,4,4,4,4
17031490500,4,4,4,4
17031490600,4,4,4,4
17031490700,4,4,4,4
17031490800,4,4,4,4
17031490901,4,4,4,0
17031490902,4,4,4,4
17031491000,4,4,4,0
17031491100,4,4,4,4
17031491200,4,4,4,4
17031491300,4,4,4,0
17031491400,0,0,0,0
17031500100,4,4,4,4
17031500200,0,0,0,0
17031500300,2,2,3,4
17031510100,3,3,3,3
17031510200,4,4,4,4
17031510300,4,4,4,4
17031520100,2,3,3,3
17031520200,3,3,3,3
17031520300,1,1,3,3
17031520400,1,1,3,3
17031520500,1,1,1,1
17031520600,1,1,1,1
17031530100,3,3,0,4
17031530200,4,4,4,0
17031530300,4,4,4,4
17031530400,4,4,4,4
17031530501,4,4,4,0
17031530502,4,4,4,4
17031530503,4,4,4,4
17031530600,4,4,4,4
17031540101,0,0,0,0
17031540102,0,0,0,0
17031550100,1,1,1,1
17031550200,1,1,1,1
17031560100,2,3,3,2
17031560200,4,4,4,4
17031560300,1,1,1,1
17031560400,1,1,1,2
17031560700,1,1,1,2
17031560800,1,1,1,1
17031560900,1,1,1,1
17031561000,1,1,1,1
17031561100,1,1,1,1
17031570100,1,1,3,3
17031570200,1,1,1,3
17031570300,1,1,2,3
17031570400,1,2,3,3
17031570500,1,1,2,3
17031580100,2,3,3,3
17031580200,2,3,3,3
17031580300,3,3,3,3
17031580400,1,2,3,3
17031580501,2,2,3,3
17031580502,2,2,3,3
17031580600,2,2,3,3
17031580700,2,2,3,3
17031580800,2,3,3,3
17031590500,2,2,2,3
17031590600,1,3,3,2
17031590700,1,3,3,3
17031600400,2,2,2,2
17031600600,2,2,2,2
17031600700,1,2,2,2
17031600900,3,2,2,2
17031610300,3,3,3,3
17031610400,3,3,3,3
17031610800,4,4,1,1
17031611000,0,0,0,0
17031611100,3,3,3,3
17031611200,3,3,3,3
17031611300,3,3,3,3
17031611400,3,3,3,3
17031611500,2,3,3,3
17031611600,3,0,0,0
17031611700,3,0,0,0
17031611800,3,0,0,0
17031611900,3,0,0,0
17031612000,0,0,0,0
17031612100,0,0,0,0
17031620100,1,1,3,3
17031620200,1,1,2,3
17031620300,1,1,1,3
17031620400,1,1,3,3
17031630100,3,3,3,3
17031630200,2,3,3,3
17031630300,1,1,3,3
17031630400,1,2,3,3
17031630500,2,3,3,3
17031630800,1,2,3,3
17031630900,1,1,3,3
17031640100,1,1,2,2
17031640300,1,1,1,1
17031640400,1,1,1,1
17031640500,1,1,1,1
17031640600,1,1,1,2
17031640700,1,1,1,3
17031640800,1,1,2,3
17031650100,1,1,3,3
17031650200,1,1,1,3
